Date,AAPL,AMZN,GOOGL,META,MSFT
2015-01-02,24.23755645751953,15.425999641418457,26.296133041381836,77.9693374633789,39.85845947265625
2015-01-05,23.554738998413086,15.10949993133545,25.795087814331055,76.7170639038086,39.491912841796875
2015-01-06,23.556961059570312,14.76449966430664,25.15848159790039,75.68342590332031,38.912288665771484
2015-01-07,23.887279510498047,14.920999526977539,25.08448600769043,75.68342590332031,39.406681060791016
2015-01-08,24.80508041381836,15.02299976348877,25.17188835144043,77.70098876953125,40.56596374511719
2015-01-09,24.831684112548828,14.846500396728516,24.8645076751709,77.26368713378906,40.22499465942383
2015-01-12,24.219820022583008,14.570500373840332,24.682764053344727,76.24993896484375,39.722084045410156
2015-01-13,24.43485450744629,14.737000465393066,24.918136596679688,75.98158264160156,39.517494201660156
2015-01-14,24.341747283935547,14.66349983215332,25.12322235107422,75.81263732910156,39.17652893066406
2015-01-15,23.681102752685547,14.34749984741211,25.02787971496582,73.59629821777344,38.76738739013672
2015-01-16,23.497106552124023,14.536999702453613,25.34817123413086,74.7193832397461,39.41521072387695
2015-01-20,24.102317810058594,14.472000122070312,25.32234764099121,75.77288818359375,39.54307174682617
2015-01-21,24.286325454711914,14.862500190734863,25.841272354125977,76.26982116699219,39.14242172241211
2015-01-22,24.91814613342285,15.515999794006348,26.680978775024414,77.17424011230469,40.17384719848633
2015-01-23,25.046724319458008,15.619500160217285,26.91188621520996,77.35314178466797,40.21646499633789
2015-01-26,25.073328018188477,15.482999801635742,26.652177810668945,77.02516174316406,40.07156753540039
2015-01-27,24.195430755615234,15.337499618530273,25.88099479675293,75.3156967163086,36.36359786987305
2015-01-28,25.563264846801758,15.195500373840332,25.44599723815918,75.77288818359375,35.11054992675781
2015-01-29,26.359140396118164,15.58899974822998,25.4857234954834,77.5220947265625,35.809532165527344
2015-01-30,25.9733943939209,17.726499557495117,26.693395614624023,75.44490814208984,34.43716812133789
2015-02-02,26.299283981323242,18.223499298095703,26.4277286529541,74.53054809570312,35.187278747558594
2015-02-03,26.303720474243164,18.177499771118164,26.482349395751953,74.93803405761719,35.46004104614258
2015-02-04,26.505460739135742,18.237499237060547,26.124813079833984,75.16661071777344,35.66462326049805
2015-02-05,26.694643020629883,18.694499969482422,26.31003761291504,75.14673614501953,36.1845817565918
2015-02-06,26.469846725463867,18.714000701904297,26.511150360107422,74.01372528076172,36.15049362182617
2015-02-09,26.64567756652832,18.527999877929688,26.282726287841797,73.9839096069336,36.107879638671875
2015-02-10,27.157573699951172,18.649999618530273,26.822998046875,74.72932434082031,36.31245040893555
2015-02-11,27.794111251831055,18.756999969482422,26.715736389160156,76.04122924804688,36.12491989135742
2015-02-12,28.14577293395996,18.85849952697754,27.113496780395508,75.76294708251953,36.730125427246094
2015-02-13,28.28376579284668,19.09149932861328,27.369234085083008,75.27594757080078,37.395015716552734
2015-02-17,28.45069122314453,18.771499633789062,27.063838958740234,75.13681030273438,37.41217803955078
2015-02-18,28.64876937866211,18.668500900268555,26.946645736694336,76.23999786376953,37.369258880615234
2015-02-19,28.58868408203125,18.950000762939453,27.135343551635742,78.93340301513672,37.34349822998047
2015-02-20,28.82237434387207,19.183000564575195,26.904438018798828,79.41045379638672,37.652549743652344
2015-02-23,29.60135269165039,19.006999969482422,26.56676483154297,78.35694885253906,37.90149688720703
2015-02-24,29.416635513305664,18.929500579833984,26.74802017211914,77.9693374633789,37.849998474121094
2015-02-25,28.664356231689453,19.26849937438965,27.179044723510742,79.0725326538086,37.7641487121582
2015-02-26,29.027143478393555,19.239999771118164,27.772947311401367,79.9173355102539,37.824249267578125
2015-02-27,28.59090805053711,19.007999420166016,27.938804626464844,78.48616027832031,37.64396286010742
2015-03-02,28.731122970581055,19.283000946044922,28.554061889648438,79.2613754272461,37.669715881347656
2015-03-03,28.79121971130371,19.230499267578125,28.741268157958984,79.11229705810547,37.15462875366211
2015-03-04,28.608707427978516,19.13599967956543,28.71842384338379,80.40433502197266,36.96577072143555
2015-03-05,28.134645462036133,19.39150047302246,28.872364044189453,80.71243286132812,37.00868606567383
2015-03-06,28.176929473876953,19.004499435424805,28.44878578186035,79.51978302001953,36.36484146118164
2015-03-09,28.297122955322266,18.92799949645996,28.508373260498047,78.95327758789062,36.78549575805664
2015-03-10,27.711761474609375,18.475500106811523,27.800756454467773,77.07485961914062,36.08152389526367
2015-03-11,27.206544876098633,18.318500518798828,27.594181060791016,77.0947265625,36.03861999511719
2015-03-12,27.698413848876953,18.711999893188477,27.866302490234375,78.4464111328125,35.214500427246094
2015-03-13,27.506999969482422,18.52899932861328,27.460601806640625,77.5718002319336,35.52353286743164
2015-03-16,27.809696197509766,18.667499542236328,27.889644622802734,77.59165954589844,35.67805480957031
2015-03-17,28.274856567382812,18.59600067138672,27.689523696899414,78.87376403808594,35.798255920410156
2015-03-18,28.593128204345703,18.756999969482422,28.11409568786621,80.4142837524414,36.485023498535156
2015-03-19,28.377246856689453,18.66200065612793,27.990446090698242,82.24300384521484,36.30474853515625
2015-03-20,28.021142959594727,18.92449951171875,28.054006576538086,83.28656005859375,36.811248779296875
2015-03-23,28.312700271606445,18.75550079345703,28.074865341186523,83.91270446777344,36.794071197509766
2015-03-24,28.19696807861328,18.704500198364258,28.679197311401367,84.78732299804688,36.82841110229492
2015-03-25,27.460268020629883,18.54800033569336,28.155805587768555,82.41195678710938,35.59221649169922
2015-03-26,27.65167236328125,18.36750030517578,27.988956451416016,82.50141906738281,35.37760543823242
2015-03-27,27.431331634521484,18.527999877929688,27.68654441833496,82.78962707519531,35.171566009521484
